,case,truth,pred,type,volume,intensity
0,case_000,1,0.99996436,"[""['epidural']""]",49.57413673400879,['[56.30399436468029]']
1,case_001,1,0.8271703,"[""['subdural']""]",10.535955429077148,['[58.46834933618615]']
2,case_002,1,0.9998399,"[""['epidural']""]",50.565242767333984,['[56.30399436468029]']
3,case_003,1,0.99997485,"[""['epidural']""]",29.552459716796875,['[63.420806718056525]']
4,case_004,1,0.99056315,"[""['round']""]",26.217222213745117,['[54.76658407304596]']
5,case_005,0,0.17309456,None,NaN,NaN
6,case_006,1,0.92989296,"[""['round']""]",31.363248825073242,['[46.87042968073845]']
7,case_007,0,0.029278765,None,NaN,NaN
8,case_008,1,0.99949205,"[""['epidural']""]",33.54954719543457,['[50.6105444819793]']
9,case_009,0,0.017356494,None,NaN,NaN
10,case_010,1,0.9997893,"[""['epidural']""]",31.200408935546875,['[61.99744424738128]']
11,case_011,1,0.11117871,"[""['subdural']""]",1.270055770874023,['[60.19036274424538]']
12,case_012,0,0.32281,None,NaN,NaN
13,case_013,1,0.99753535,"[""['subdural']""]",23.83136749267578,['[46.41425547977149]']
14,case_014,1,0.99964356,"[""['epidural']""]",39.15905952453613,['[53.10142880566099]']
15,case_015,0,0.10019397,None,NaN,NaN
16,case_016,1,0.9958295,"[""['subdural']""]",20.927906036376953,['[46.988259949124576]']
17,case_017,1,0.9532051,"[""['round']""]",2.4185180664062496,['[55.205259317063046]']
18,case_018,1,0.8765403,"[""['round']""]",19.86408233642578,['[47.30910492475553]']
19,case_019,1,0.84337676,"[""['round']""]",88.19818496704102,['[49.50248114484095]']
20,case_020,1,0.9820113,"[""['round']""]",40.429115295410156,['[52.13453260894345]']
21,case_021,1,0.386073,"[""['subdural']""]",1.7423629760742188,['[64.78239849907001]']
22,case_022,1,0.89035296,"[""['subdural']""]",16.681432723999023,['[59.61635827489231]']
23,case_023,1,0.99979633,"[""['epidural']""]",22.687911987304688,['[80.14531574849067]']
24,case_024,1,0.99321824,"[""['subdural']""]",13.27824592590332,['[46.988259949124576]']
25,case_025,0,0.037078973,None,NaN,NaN
26,case_026,1,0.98111033,"[""['round']""]",60.10317802429199,['[49.94115638885803]']
27,case_027,1,0.28925446,"[""['subdural']""]",14.06717300415039,['[45.266246541065335]']
28,case_028,1,0.81335026,"[""['round']""]",38.484811782836914,['[52.13453260894345]']
29,case_029,1,0.99906677,"[""['epidural']""]",56.87355995178223,['[61.28576301204365]']
30,case_030,1,0.78658235,"[""['round']""]",54.7788143157959,['[47.30910492475553]']
31,case_031,1,0.17603625,"[""['subdural']""]",3.667593002319335,['[51.5802957039492]']
32,case_032,1,0.99730706,"[""['round']""]",34.27529335021973,['[58.71466126919971]']
33,case_033,0,0.055100445,None,NaN,NaN
34,case_034,1,0.9953614,"[""['epidural']""]",20.87712287902832,['[60.21824115903722]']
35,case_035,1,0.9995554,"[""['subdural']""]",39.68214988708496,['[55.02432252006767]']
36,case_036,1,0.9999745,"[""['epidural']""]",30.53426742553711,['[66.26753165940701]']
37,case_037,1,0.99084455,"[""['epidural']""]",8.62264633178711,['[54.88063189400505]']
38,case_038,1,0.99274534,"[""['subdural']""]",20.514726638793945,['[49.85828229588997]']
39,case_039,1,0.9970457,"[""['round']""]",98.29306602478027,['[58.27598602518263]']
40,case_040,1,0.7057033,"[""['subdural']""]",15.796184539794922,['[53.87631358136152]']
41,case_041,1,0.9905151,"[""['round']""]",37.305355072021484,['[52.573207852960536]']
42,case_042,1,0.9997286,"[""['epidural']""]",17.343521118164062,['[68.7584159830887]']
43,case_043,1,0.98912734,"[""['round']""]",11.620521545410156,['[48.62513065680678]']
44,case_044,1,0.06747919,"[""['subdural']""]",3.4863948822021475,['[57.894344866833066]']
45,case_045,0,0.025495643,None,NaN,NaN
46,case_046,1,0.99883133,"[""['epidural']""]",19.664287567138672,['[62.7091254827189]']
47,case_047,1,0.17365803,"[""['subdural']""]",6.132602691650391,['[60.76436721359846]']
48,case_048,1,0.9949202,"[""['round']""]",21.993637084960938,['[60.03068700125097]']
49,case_049,1,0.98933303,"[""['round']""]",26.409387588500977,['[48.62513065680678]']
50,case_050,1,0.9996462,"[""['epidural']""]",41.62311553955078,['[62.7091254827189]']
51,case_051,1,0.99541557,"[""['round']""]",77.07476615905762,['[57.39863553714847]']
52,case_052,0,0.059149,None,NaN,NaN
53,case_053,1,0.5760512,"[""['subdural']""]",6.504297256469725,['[49.85828229588997]']
54,case_054,1,0.98506576,"[""['epidural']""]",13.848066329956055,['[45.27293521694713]']
55,case_055,1,0.99886465,"[""['epidural']""]",30.78770637512207,['[46.34045706995357]']
56,case_056,0,0.28220516,None,NaN,NaN
57,case_057,1,0.17910437,"[""['subdural']""]",1.0325908660888667,['[49.284277826536886]']
58,case_058,1,0.9905929,"[""['round']""]",59.27395820617676,['[53.8892335850118]']
59,case_059,1,0.9997094,"[""['epidural']""]",21.351099014282227,['[60.57408177670603]']
60,case_060,0,0.06728753,None,NaN,NaN
61,case_061,0,0.08637458,None,NaN,NaN
62,case_062,0,0.1387486,None,NaN,NaN
63,case_063,1,0.18726796,"[""['subdural']""]",6.076574325561523,['[53.302309112008444]']
64,case_064,1,0.99974626,"[""['epidural']""]",25.92945098876953,['[68.40257536541989]']
65,case_065,1,0.66918474,"[""['round']""]",79.44655418395996,['[45.11572870467011]']
66,case_066,1,0.5770167,"[""['round']""]",81.1011791229248,['[49.50248114484095]']
67,case_067,1,0.99560684,"[""['round']""]",10.091066360473633,['[50.8185068768922]']
68,case_068,0,0.3222584,None,NaN,NaN
69,case_069,0,0.058904707,None,NaN,NaN
70,case_070,1,0.97143406,"[""['round']""]",14.231204986572266,['[62.66273846535347]']
71,case_071,1,0.9999801,"[""['epidural']""]",41.1226749420166,['[64.13248795339415]']
72,case_072,1,0.30092365,"[""['subdural']""]",5.586147308349608,['[65.93040743777617]']
73,case_073,1,0.80266786,"[""['subdural']""]",19.159555435180664,['[46.988259949124576]']
74,case_074,1,0.19090596,"[""['round']""]",5.773067474365234,['[48.62513065680678]']
75,case_075,0,0.1425282,None,NaN,NaN
76,case_076,1,0.39773634,"[""['subdural']""]",10.585784912109375,['[64.20839402971693]']
77,case_077,0,0.08592311,None,NaN,NaN
78,case_078,1,0.9973678,"[""['epidural']""]",19.222497940063477,['[68.04673474775107]']
79,case_079,1,0.6201685,"[""['subdural']""]",6.478071212768555,['[49.85828229588997]']
80,case_080,1,0.9124493,"[""['round']""]",6.960391998291016,['[62.66273846535347]']
81,case_081,1,0.95365673,"[""['round']""]",7.17616081237793,['[54.32790882902888]']
82,case_082,1,0.9974655,"[""['round']""]",29.58822250366211,['[56.082609805097206]']
83,case_083,1,0.9999765,"[""['epidural']""]",39.83283042907715,['[71.960981542108]']
84,case_084,1,0.9997503,"[""['epidural']""]",54.98027801513672,['[54.52479127633623]']
85,case_085,1,0.99683833,"[""['subdural']""]",14.081478118896484,['[62.4863806216577]']
86,case_086,1,0.99301976,"[""['epidural']""]",13.705253601074219,['[54.88063189400505]']
87,case_087,0,0.21012923,None,NaN,NaN
88,case_088,0,0.13224566,None,NaN,NaN
89,case_089,1,0.54497904,"[""['epidural']""]",5.173921585083008,['[58.083197453024354]']
90,case_090,1,0.99938583,"[""['subdural']""]",41.23640060424805,['[69.37443425389465]']
91,case_091,1,0.99368906,"[""['round']""]",24.6274471282959,['[52.13453260894345]']
92,case_092,0,0.35382807,None,NaN,NaN
93,case_093,1,0.61657107,"[""['subdural']""]",14.273643493652344,['[57.894344866833066]']
94,case_094,1,0.9991041,"[""['round']""]",14.319658279418945,['[54.76658407304596]']
95,case_095,1,0.79899365,"[""['subdural']""]",12.551307678222656,['[54.4503180507146]']
96,case_096,0,0.16179743,None,NaN,NaN
97,case_097,1,0.9793799,"[""['round']""]",5.894660949707031,['[57.39863553714847]']
98,case_098,1,0.9996879,"[""['epidural']""]",41.32199287414551,['[60.21824115903722]']
99,case_099,1,0.98927164,"[""['subdural']""]",28.05161476135254,['[57.894344866833066]']
