age,kVp,mA,views,zspan,kernel,slice_thickness,intensity,volume,edema,subtype,mass_effect,global_seed,case_seed,output_directory
38.0,120.0,120.0,1000.0,dynamic,soft,1,56.30399436468029,27.28245081909421,0,epidural,True,676632,622491,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,58.46834933618615,2.5017605185282505,0,subdural,True,676632,601808,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,56.30399436468029,20.97622521668028,0,epidural,True,676632,138146,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,63.420806718056525,15.721037214668655,0,epidural,True,676632,68091,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,54.76658407304596,6.450749259081999,10,round,True,676632,938768,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,735891,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,46.87042968073845,6.450749259081999,13,round,True,676632,709261,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,297301,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,50.6105444819793,15.721037214668655,0,epidural,True,676632,34363,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,396897,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,61.99744424738128,13.618962013864014,0,epidural,True,676632,340181,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,60.19036274424538,0.5998533216584008,0,subdural,True,676632,373924,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,966218,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,46.41425547977149,9.158435707572725,0,subdural,True,676632,864707,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,53.10142880566099,19.925187616277952,0,epidural,True,676632,168643,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,313180,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,46.988259949124576,9.158435707572725,0,subdural,True,676632,809551,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,55.205259317063046,0.4486733346999259,6,round,True,676632,225079,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,47.30910492475553,4.04991888932917,7,round,True,676632,309781,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,49.50248114484095,18.454901107846148,10,round,True,676632,274676,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,52.13453260894345,5.250334074205583,14,round,True,676632,538320,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,64.78239849907001,0.5998533216584008,0,subdural,True,676632,433622,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,59.61635827489231,8.2074821091378,0,subdural,True,676632,115222,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,80.14531574849067,11.516886813059363,0,epidural,True,676632,787877,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,46.988259949124576,4.4036677153981,0,subdural,True,676632,409921,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,759449,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,49.94115638885803,13.653240368340484,11,round,True,676632,20796,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,45.266246541065335,5.354621313833025,0,subdural,True,676632,264453,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,52.13453260894345,6.450749259081999,13,round,True,676632,702670,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,61.28576301204365,34.63971402191048,0,epidural,True,676632,782118,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,47.30910492475553,11.25240999858766,12,round,True,676632,128157,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,51.5802957039492,1.5508069200933257,0,subdural,True,676632,837043,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,58.71466126919971,8.851579628834827,4,round,True,676632,572977,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,676632,560191,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run3
