age,kVp,mA,views,zspan,kernel,slice_thickness,intensity,volume,edema,subtype,mass_effect,global_seed,case_seed,output_directory
38.0,120.0,120.0,1000.0,dynamic,soft,1,49.89886324664168,13.618962013864014,0,epidural,True,734023,649322,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,51.257182120909285,4.04991888932917,7,round,True,734023,346062,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,887021,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,43092,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,46.43175443672136,2.8495037044527542,3,round,True,734023,657843,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,717615,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,48.71027335718381,6.30557491226795,0,subdural,True,734023,494712,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,794180,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,71.960981542108,8.3637740118524,0,epidural,True,734023,350754,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,50.96638509964812,15.721037214668655,0,epidural,True,734023,990364,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,55.94815374701148,17.823112415473304,0,epidural,True,734023,368697,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,227827,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,57.727356835355536,12.56792441346169,0,epidural,True,734023,248946,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,84.77124377818521,40.94593962432441,0,epidural,True,734023,601594,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,24143,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,60.76436721359846,1.5508069200933257,0,subdural,True,734023,886363,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,56.74633592812691,12.96225010131242,0,subdural,True,734023,715258,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,76.58690957180255,4.159623610243102,0,epidural,True,734023,234571,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,145245,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,50.43228676524304,9.158435707572725,0,subdural,True,734023,788398,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,61.34671273330223,11.25240999858766,12,round,True,734023,815737,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,178447,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,70.53761907143276,23.07830041748492,0,epidural,True,734023,412106,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,72.24445660066003,70.01946600740791,0,subdural,True,734023,163439,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,52.72830464265536,7.256528510702875,0,subdural,True,734023,181517,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,52.745588187992176,29.384526019898857,0,epidural,True,734023,612037,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,48.831341393635256,7.312736411450075,0,epidural,True,734023,846772,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,734023,694575,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
38.0,120.0,120.0,1000.0,dynamic,soft,1,76.26248788613158,1.5508069200933257,0,subdural,True,734023,816638,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run2
