,case,truth,pred,type,volume,intensity
0,case_000,1,0.9975189,"[""['epidural']""]",35.178184509277344,['[49.89886324664168]']
1,case_001,1,0.97189337,"[""['round']""]",17.946958541870117,['[51.257182120909285]']
2,case_002,0,0.6166995,None,NaN,NaN
3,case_003,0,0.2705399,None,NaN,NaN
4,case_004,1,0.9518558,"[""['round']""]",9.276628494262695,['[46.43175443672136]']
5,case_005,0,0.10110311,None,NaN,NaN
6,case_006,1,0.64646995,"[""['subdural']""]",12.679815292358398,['[48.71027335718381]']
7,case_007,0,0.09169095,None,NaN,NaN
8,case_008,1,0.99977905,"[""['epidural']""]",17.839908599853516,['[71.960981542108]']
9,case_009,1,0.99941075,"[""['epidural']""]",27.09507942199707,['[50.96638509964812]']
10,case_010,1,0.9992514,"[""['epidural']""]",37.18924522399902,['[55.94815374701148]']
11,case_011,0,0.026000982,None,NaN,NaN
12,case_012,1,0.99956197,"[""['epidural']""]",22.47142791748047,['[57.727356835355536]']
13,case_013,1,0.99926573,"[""['epidural']""]",75.48165321350098,['[84.77124377818521]']
14,case_014,0,0.29765967,None,NaN,NaN
15,case_015,1,0.05518724,"[""['subdural']""]",3.2222270965576163,['[60.76436721359846]']
16,case_016,1,0.9654898,"[""['subdural']""]",23.250341415405273,['[56.74633592812691]']
17,case_017,1,0.98423636,"[""['epidural']""]",11.445045471191406,['[76.58690957180255]']
18,case_018,0,0.1814711,None,NaN,NaN
19,case_019,1,0.5920882,"[""['subdural']""]",21.27528190612793,['[50.43228676524304]']
20,case_020,1,0.98563737,"[""['round']""]",55.17244338989258,['[61.34671273330223]']
21,case_021,0,0.19586638,None,NaN,NaN
22,case_022,1,0.9999895,"[""['epidural']""]",50.2476692199707,['[70.53761907143276]']
23,case_023,1,0.9991289,"[""['subdural']""]",169.05713081359863,['[72.24445660066003]']
24,case_024,1,0.37847555,"[""['subdural']""]",20.48325538635254,['[52.72830464265536]']
25,case_025,1,0.9996574,"[""['epidural']""]",61.14482879638672,['[52.745588187992176]']
26,case_026,1,0.88463193,"[""['epidural']""]",18.27216148376465,['[48.831341393635256]']
27,case_027,0,0.40525666,None,NaN,NaN
28,case_028,1,0.019289715,"[""['subdural']""]",4.9648284912109375,['[76.26248788613158]']
29,case_029,1,0.99617934,"[""['round']""]",24.533748626708984,['[56.082609805097206]']
30,case_030,1,0.99994624,"[""['epidural']""]",16.094446182250977,['[65.91169104173821]']
31,case_031,0,0.059784044,None,NaN,NaN
32,case_032,1,0.99983454,"[""['epidural']""]",54.09407615661621,['[70.89345968910158]']
33,case_033,1,0.9592491,"[""['round']""]",58.29310417175293,['[45.11572870467011]']
34,case_034,1,0.99391323,"[""['round']""]",20.740509033203125,['[56.082609805097206]']
35,case_035,1,0.9995117,"[""['epidural']""]",20.55668830871582,['[69.47009721842632]']
36,case_036,1,0.99960905,"[""['epidural']""]",38.716793060302734,['[55.59231312934267]']
37,case_037,1,0.96861994,"[""['round']""]",28.820514678955078,['[61.7853879773193]']
